date,product,quantity,price
22/11/1996,C,10,67
23/11/1996,D,10,68
24/11/1996,F,1,70
25/11/1996,F,1,70
26/11/1996,F,8,70
27/11/1996,E,9,69
28/11/1996,F,5,70
29/11/1996,D,5,68
30/11/1996,F,5,70
1/12/1996,F,4,70
2/12/1996,C,10,67
3/12/1996,A,3,65
4/12/1996,B,6,66
5/12/1996,A,6,65
6/12/1996,D,3,68
7/12/1996,C,2,67
8/12/1996,F,6,70
9/12/1996,E,1,69
10/12/1996,A,4,65
11/12/1996,D,5,68
12/12/1996,D,9,68
13/12/1996,A,3,65
14/12/1996,F,5,70
15/12/1996,D,3,68
16/12/1996,C,6,67
17/12/1996,A,8,65
18/12/1996,B,4,66
19/12/1996,A,3,65
20/12/1996,D,5,68
21/12/1996,F,1,70
22/12/1996,C,3,67
23/12/1996,C,2,67
24/12/1996,F,1,70
25/12/1996,A,10,65
26/12/1996,A,7,65
27/12/1996,A,10,65
28/12/1996,D,10,68
29/12/1996,A,3,65
30/12/1996,D,10,68
31/12/1996,B,10,66
1/01/1997,B,2,66
2/01/1997,D,8,68
3/01/1997,A,4,65
4/01/1997,D,6,68
5/01/1997,E,3,69
6/01/1997,B,6,66
7/01/1997,A,9,65
8/01/1997,D,9,68
9/01/1997,C,10,67
10/01/1997,D,4,68
11/01/1997,C,6,67
12/01/1997,D,1,68
13/01/1997,D,6,68
14/01/1997,D,8,68
15/01/1997,B,8,66
16/01/1997,A,2,65
17/01/1997,B,10,66
18/01/1997,A,2,65
19/01/1997,F,8,70
20/01/1997,A,8,65
21/01/1997,C,1,67
22/01/1997,C,2,67
23/01/1997,C,9,67
24/01/1997,C,1,67
25/01/1997,F,3,70
26/01/1997,C,9,67
27/01/1997,A,2,65
28/01/1997,A,7,65
29/01/1997,C,6,67
30/01/1997,F,9,70
31/01/1997,B,3,66
1/02/1997,A,9,65
2/02/1997,C,7,67
3/02/1997,D,5,68
4/02/1997,C,1,67
5/02/1997,E,1,69
6/02/1997,D,10,68
7/02/1997,E,8,69
8/02/1997,F,4,70
9/02/1997,C,4,67
10/02/1997,D,5,68
11/02/1997,A,10,65
12/02/1997,C,8,67
13/02/1997,D,3,68
14/02/1997,E,10,69
15/02/1997,A,5,65
16/02/1997,C,7,67
17/02/1997,F,9,70
18/02/1997,B,9,66
19/02/1997,D,4,68
20/02/1997,E,5,69
21/02/1997,D,9,68
22/02/1997,D,1,68
23/02/1997,F,10,70
24/02/1997,B,9,66
25/02/1997,F,5,70
26/02/1997,D,6,68
27/02/1997,B,2,66
28/02/1997,F,5,70
1/03/1997,D,6,68
2/03/1997,F,8,70
3/03/1997,A,1,65
4/03/1997,B,2,66
5/03/1997,B,1,66
6/03/1997,A,7,65
7/03/1997,C,9,67
8/03/1997,C,4,67
9/03/1997,D,2,68
10/03/1997,A,5,65
11/03/1997,B,6,66
12/03/1997,F,5,70
13/03/1997,E,4,69
14/03/1997,E,6,69
15/03/1997,B,10,66
16/03/1997,F,10,70
17/03/1997,A,5,65
18/03/1997,D,3,68
19/03/1997,C,9,67
20/03/1997,B,1,66
21/03/1997,E,3,69
22/03/1997,A,2,65
23/03/1997,D,5,68
24/03/1997,B,3,66
25/03/1997,F,4,70
26/03/1997,D,3,68
27/03/1997,F,1,70
28/03/1997,E,3,69
29/03/1997,F,3,70
30/03/1997,D,1,68
31/03/1997,D,1,68
1/04/1997,F,2,70
2/04/1997,B,10,66
3/04/1997,B,2,66
4/04/1997,D,2,68
5/04/1997,D,7,68
6/04/1997,A,6,65
7/04/1997,F,4,70
8/04/1997,C,4,67
9/04/1997,C,10,67
10/04/1997,D,8,68
11/04/1997,B,6,66
12/04/1997,F,9,70
13/04/1997,F,4,70
14/04/1997,E,5,69
15/04/1997,A,10,65
16/04/1997,C,2,67
17/04/1997,D,4,68
18/04/1997,D,10,68
19/04/1997,B,6,66
20/04/1997,A,1,65
21/04/1997,D,6,68
22/04/1997,B,9,66
23/04/1997,C,8,67
24/04/1997,D,4,68
25/04/1997,D,7,68
26/04/1997,F,2,70
27/04/1997,F,5,70
28/04/1997,C,9,67
29/04/1997,F,7,70
30/04/1997,D,7,68
1/05/1997,F,6,70
2/05/1997,E,4,69
3/05/1997,C,9,67
4/05/1997,F,1,70
5/05/1997,E,10,69
6/05/1997,A,6,65
7/05/1997,A,4,65
8/05/1997,C,3,67
9/05/1997,D,2,68
10/05/1997,B,3,66
11/05/1997,D,8,68
12/05/1997,C,7,67
13/05/1997,B,2,66
14/05/1997,D,2,68
15/05/1997,A,2,65
16/05/1997,A,2,65
17/05/1997,A,7,65
18/05/1997,C,8,67
19/05/1997,C,7,67
20/05/1997,A,9,65
21/05/1997,D,5,68
22/05/1997,E,8,69
23/05/1997,E,1,69
24/05/1997,D,3,68
25/05/1997,C,9,67
26/05/1997,D,2,68
27/05/1997,C,4,67
28/05/1997,D,7,68
29/05/1997,E,8,69
30/05/1997,E,8,69
31/05/1997,C,9,67
1/06/1997,D,4,68
2/06/1997,D,2,68
3/06/1997,F,3,70
4/06/1997,C,9,67
5/06/1997,D,7,68
6/06/1997,E,1,69
7/06/1997,F,9,70
8/06/1997,D,3,68
9/06/1997,B,4,66
10/06/1997,D,2,68
11/06/1997,E,6,69
12/06/1997,C,3,67
13/06/1997,B,3,66
14/06/1997,C,2,67
15/06/1997,F,9,70
16/06/1997,E,9,69
17/06/1997,E,6,69
18/06/1997,B,1,66
19/06/1997,F,1,70
20/06/1997,D,7,68
21/06/1997,A,7,65
22/06/1997,D,1,68
23/06/1997,B,7,66
24/06/1997,C,7,67
25/06/1997,D,7,68
26/06/1997,E,4,69
27/06/1997,C,3,67
28/06/1997,D,3,68
29/06/1997,E,2,69
30/06/1997,C,3,67
1/07/1997,D,9,68
2/07/1997,E,2,69
3/07/1997,A,4,65
4/07/1997,A,3,65
5/07/1997,A,4,65
6/07/1997,E,10,69
7/07/1997,B,5,66
8/07/1997,F,8,70
9/07/1997,A,9,65
10/07/1997,C,2,67
11/07/1997,F,8,70
12/07/1997,E,4,69
13/07/1997,B,5,66
14/07/1997,B,1,66
15/07/1997,F,1,70
16/07/1997,C,4,67
17/07/1997,A,1,65
18/07/1997,A,9,65
19/07/1997,D,10,68
20/07/1997,B,4,66
21/07/1997,A,9,65
22/07/1997,F,10,70
23/07/1997,B,4,66
24/07/1997,D,10,68
25/07/1997,A,5,65
26/07/1997,E,7,69
27/07/1997,B,2,66
28/07/1997,A,5,65
29/07/1997,B,3,66
30/07/1997,B,3,66
31/07/1997,F,7,70
1/08/1997,C,5,67
2/08/1997,C,8,67
3/08/1997,B,7,66
4/08/1997,F,7,70
5/08/1997,B,3,66
6/08/1997,F,2,70
7/08/1997,C,10,67
8/08/1997,D,2,68
9/08/1997,D,6,68
10/08/1997,A,4,65
11/08/1997,C,7,67
12/08/1997,B,9,66
13/08/1997,D,8,68
14/08/1997,D,1,68
15/08/1997,C,3,67
16/08/1997,B,9,66
17/08/1997,C,7,67
18/08/1997,E,1,69
19/08/1997,C,9,67
20/08/1997,B,6,66
21/08/1997,A,3,65
22/08/1997,D,6,68
23/08/1997,B,2,66
24/08/1997,B,3,66
25/08/1997,E,4,69
26/08/1997,F,9,70
27/08/1997,A,5,65
28/08/1997,E,10,69
29/08/1997,B,2,66
30/08/1997,B,8,66
31/08/1997,B,8,66
1/09/1997,E,4,69
2/09/1997,B,1,66
3/09/1997,E,3,69
4/09/1997,F,4,70
5/09/1997,A,2,65
6/09/1997,E,6,69
7/09/1997,E,5,69
8/09/1997,C,8,67
9/09/1997,C,3,67
10/09/1997,B,9,66
11/09/1997,D,6,68
12/09/1997,B,10,66
13/09/1997,E,8,69
14/09/1997,F,9,70
15/09/1997,D,8,68
16/09/1997,B,10,66
17/09/1997,C,9,67
18/09/1997,D,7,68
19/09/1997,F,10,70
20/09/1997,D,9,68
21/09/1997,D,5,68
22/09/1997,B,2,66
23/09/1997,A,6,65
24/09/1997,E,10,69
25/09/1997,C,3,67
26/09/1997,E,9,69
27/09/1997,C,8,67
28/09/1997,A,7,65
29/09/1997,C,6,67
30/09/1997,A,4,65
1/10/1997,A,5,65
2/10/1997,A,2,65
3/10/1997,D,6,68
4/10/1997,D,1,68
5/10/1997,E,9,69
6/10/1997,C,3,67
7/10/1997,F,6,70
8/10/1997,A,2,65
9/10/1997,A,4,65
10/10/1997,B,5,66
11/10/1997,B,3,66
12/10/1997,D,2,68
13/10/1997,E,7,69
14/10/1997,F,7,70
15/10/1997,D,8,68
16/10/1997,D,8,68
17/10/1997,E,7,69
18/10/1997,B,5,66
19/10/1997,F,7,70
20/10/1997,A,3,65
21/10/1997,B,4,66
22/10/1997,B,5,66
23/10/1997,D,4,68
24/10/1997,A,8,65
25/10/1997,E,9,69
26/10/1997,A,9,65
27/10/1997,D,5,68
28/10/1997,E,10,69
29/10/1997,A,5,65
30/10/1997,B,10,66
31/10/1997,D,9,68
1/11/1997,D,1,68
2/11/1997,A,9,65
3/11/1997,F,3,70
4/11/1997,D,6,68
5/11/1997,A,6,65
6/11/1997,C,4,67
7/11/1997,E,5,69
8/11/1997,D,1,68
9/11/1997,B,6,66
10/11/1997,D,8,68
11/11/1997,F,2,70
12/11/1997,C,9,67
13/11/1997,B,5,66
14/11/1997,A,4,65
15/11/1997,D,1,68
16/11/1997,F,9,70
17/11/1997,A,1,65
18/11/1997,E,6,69
19/11/1997,A,5,65
20/11/1997,D,3,68
21/11/1997,A,6,65
22/11/1997,D,8,68
23/11/1997,F,8,70
24/11/1997,A,8,65
25/11/1997,C,4,67
26/11/1997,F,8,70
27/11/1997,E,1,69
28/11/1997,F,3,70
29/11/1997,A,5,65
30/11/1997,C,10,67
1/12/1997,F,2,70
2/12/1997,C,6,67
3/12/1997,B,6,66
4/12/1997,E,9,69
5/12/1997,C,1,67
6/12/1997,C,5,67
7/12/1997,C,7,67
8/12/1997,C,1,67
9/12/1997,E,10,69
10/12/1997,A,4,65
11/12/1997,D,3,68
12/12/1997,E,3,69
13/12/1997,D,5,68
14/12/1997,C,5,67
15/12/1997,D,5,68
16/12/1997,C,8,67
17/12/1997,A,6,65
18/12/1997,F,4,70
19/12/1997,B,4,66
20/12/1997,F,4,70
21/12/1997,A,4,65
22/12/1997,E,5,69
23/12/1997,C,1,67
24/12/1997,A,9,65
25/12/1997,F,3,70
26/12/1997,F,8,70
27/12/1997,F,3,70
28/12/1997,A,8,65
29/12/1997,D,8,68
30/12/1997,B,4,66
31/12/1997,D,8,68
1/01/1998,A,1,65
2/01/1998,C,10,67
3/01/1998,E,4,69
4/01/1998,E,6,69
5/01/1998,D,8,68
6/01/1998,B,9,66
7/01/1998,C,10,67
8/01/1998,C,9,67
9/01/1998,D,7,68
10/01/1998,E,10,69
11/01/1998,A,3,65
12/01/1998,E,8,69
13/01/1998,B,8,66
14/01/1998,B,9,66
15/01/1998,A,1,65
16/01/1998,B,4,66
17/01/1998,D,1,68
18/01/1998,A,5,65
19/01/1998,A,6,65
20/01/1998,A,5,65
21/01/1998,B,3,66
22/01/1998,C,4,67
23/01/1998,D,8,68
24/01/1998,F,3,70
25/01/1998,D,5,68
26/01/1998,F,7,70
27/01/1998,E,9,69
28/01/1998,D,3,68
29/01/1998,D,9,68
30/01/1998,C,8,67
31/01/1998,E,4,69
1/02/1998,F,6,70
2/02/1998,E,4,69
3/02/1998,B,7,66
4/02/1998,F,9,70
5/02/1998,D,10,68
6/02/1998,A,4,65
7/02/1998,A,3,65
8/02/1998,B,8,66
9/02/1998,D,7,68
10/02/1998,E,10,69
11/02/1998,A,8,65
12/02/1998,D,8,68
13/02/1998,F,8,70
14/02/1998,A,1,65
15/02/1998,F,4,70
16/02/1998,E,2,69
17/02/1998,E,7,69
18/02/1998,A,2,65
19/02/1998,C,6,67
20/02/1998,F,8,70
21/02/1998,F,10,70
22/02/1998,E,3,69
23/02/1998,D,7,68
24/02/1998,B,5,66
25/02/1998,E,10,69
26/02/1998,F,8,70
27/02/1998,F,4,70
28/02/1998,D,5,68
1/03/1998,B,9,66
2/03/1998,D,6,68
3/03/1998,E,4,69
4/03/1998,B,4,66
5/03/1998,E,6,69
6/03/1998,E,3,69
7/03/1998,A,8,65
8/03/1998,B,8,66
9/03/1998,A,2,65
10/03/1998,E,7,69
11/03/1998,E,8,69
12/03/1998,E,10,69
13/03/1998,B,5,66
14/03/1998,A,1,65
15/03/1998,F,6,70
16/03/1998,A,7,65
17/03/1998,A,2,65
18/03/1998,C,3,67
19/03/1998,E,4,69
20/03/1998,C,6,67
21/03/1998,C,9,67
22/03/1998,F,8,70
23/03/1998,F,9,70
24/03/1998,E,3,69
25/03/1998,E,10,69
26/03/1998,B,3,66
27/03/1998,B,3,66
28/03/1998,A,8,65
29/03/1998,C,2,67
30/03/1998,B,7,66
31/03/1998,C,9,67
1/04/1998,A,5,65
2/04/1998,D,7,68
3/04/1998,D,5,68
4/04/1998,A,5,65
5/04/1998,C,5,67
6/04/1998,E,9,69
7/04/1998,A,3,65
8/04/1998,B,7,66
9/04/1998,D,1,68
10/04/1998,B,4,66
11/04/1998,F,9,70
12/04/1998,B,10,66
13/04/1998,E,5,69
14/04/1998,C,2,67
15/04/1998,E,6,69
16/04/1998,D,2,68
17/04/1998,F,10,70
18/04/1998,A,2,65
19/04/1998,A,9,65
20/04/1998,C,9,67
21/04/1998,F,2,70
22/04/1998,C,5,67
23/04/1998,B,9,66
24/04/1998,C,7,67
25/04/1998,E,1,69
26/04/1998,B,7,66
27/04/1998,A,9,65
28/04/1998,E,10,69
29/04/1998,A,1,65
30/04/1998,F,4,70
1/05/1998,E,9,69
2/05/1998,E,8,69
3/05/1998,B,6,66
4/05/1998,A,3,65
5/05/1998,B,5,66
6/05/1998,A,10,65
7/05/1998,A,10,65
8/05/1998,B,2,66
9/05/1998,D,10,68
10/05/1998,D,9,68
11/05/1998,B,8,66
12/05/1998,C,6,67
13/05/1998,E,7,69
14/05/1998,F,5,70
15/05/1998,C,3,67
16/05/1998,E,7,69
17/05/1998,F,9,70
18/05/1998,A,2,65
19/05/1998,B,7,66
20/05/1998,F,7,70
21/05/1998,F,10,70
22/05/1998,A,6,65
23/05/1998,D,9,68
24/05/1998,E,9,69
25/05/1998,A,9,65
26/05/1998,B,7,66
27/05/1998,B,9,66
28/05/1998,A,5,65
29/05/1998,A,9,65
30/05/1998,B,4,66
31/05/1998,F,7,70
1/06/1998,A,4,65
2/06/1998,B,3,66
3/06/1998,A,1,65
4/06/1998,C,5,67
5/06/1998,D,6,68
6/06/1998,C,8,67
7/06/1998,B,1,66
8/06/1998,A,7,65
9/06/1998,B,10,66
10/06/1998,B,2,66
11/06/1998,C,4,67
12/06/1998,D,5,68
13/06/1998,D,7,68
14/06/1998,F,4,70
15/06/1998,F,7,70
16/06/1998,D,6,68
17/06/1998,F,4,70
18/06/1998,A,6,65
19/06/1998,A,7,65
20/06/1998,A,4,65
21/06/1998,C,8,67
22/06/1998,A,8,65
23/06/1998,D,6,68
24/06/1998,A,4,65
25/06/1998,B,6,66
26/06/1998,D,6,68
27/06/1998,F,3,70
28/06/1998,F,8,70
29/06/1998,B,8,66
30/06/1998,C,6,67
1/07/1998,D,4,68
2/07/1998,F,10,70
3/07/1998,B,8,66
4/07/1998,E,1,69
5/07/1998,B,8,66
6/07/1998,F,6,70
7/07/1998,D,1,68
8/07/1998,A,1,65
9/07/1998,B,2,66
10/07/1998,E,2,69
11/07/1998,F,7,70
12/07/1998,C,7,67
13/07/1998,F,8,70
14/07/1998,D,3,68
15/07/1998,E,8,69
16/07/1998,D,2,68
17/07/1998,A,4,65
18/07/1998,D,2,68
19/07/1998,F,10,70
20/07/1998,A,5,65
21/07/1998,C,2,67
22/07/1998,B,8,66
23/07/1998,D,2,68
24/07/1998,E,1,69
25/07/1998,C,9,67
26/07/1998,A,9,65
27/07/1998,D,7,68
28/07/1998,F,7,70
29/07/1998,D,10,68
30/07/1998,E,2,69
31/07/1998,D,5,68
1/08/1998,C,5,67
2/08/1998,B,5,66
3/08/1998,A,8,65
4/08/1998,A,9,65
5/08/1998,C,8,67
6/08/1998,E,2,69
7/08/1998,E,1,69
8/08/1998,D,1,68
9/08/1998,A,7,65
10/08/1998,F,1,70
11/08/1998,B,10,66
12/08/1998,B,1,66
13/08/1998,C,1,67
14/08/1998,E,8,69
15/08/1998,A,2,65
16/08/1998,B,1,66
17/08/1998,B,1,66
18/08/1998,F,7,70
19/08/1998,C,5,67
20/08/1998,A,4,65
21/08/1998,B,10,66
22/08/1998,B,1,66
23/08/1998,A,8,65
24/08/1998,A,9,65
25/08/1998,F,10,70
26/08/1998,B,7,66
27/08/1998,E,6,69
28/08/1998,F,2,70
29/08/1998,D,5,68
30/08/1998,D,3,68
31/08/1998,B,5,66
1/09/1998,A,6,65
2/09/1998,F,5,70
3/09/1998,B,3,66
4/09/1998,C,2,67
5/09/1998,C,9,67
6/09/1998,C,9,67
7/09/1998,D,7,68
8/09/1998,B,2,66
9/09/1998,D,9,68
10/09/1998,D,6,68
11/09/1998,A,2,65
12/09/1998,F,10,70
13/09/1998,C,3,67
14/09/1998,C,1,67
15/09/1998,A,5,65
16/09/1998,C,5,67
17/09/1998,D,2,68
18/09/1998,D,3,68
19/09/1998,F,10,70
20/09/1998,B,10,66
21/09/1998,F,5,70
22/09/1998,E,3,69
23/09/1998,C,9,67
24/09/1998,D,4,68
25/09/1998,F,6,70
26/09/1998,A,8,65
27/09/1998,D,3,68
28/09/1998,F,8,70
29/09/1998,F,2,70
30/09/1998,A,6,65
1/10/1998,C,1,67
2/10/1998,D,8,68
3/10/1998,C,7,67
4/10/1998,B,8,66
5/10/1998,B,9,66
6/10/1998,D,8,68
7/10/1998,B,4,66
8/10/1998,D,5,68
9/10/1998,F,8,70
10/10/1998,C,2,67
11/10/1998,D,9,68
12/10/1998,E,4,69
13/10/1998,E,8,69
14/10/1998,A,9,65
15/10/1998,B,5,66
16/10/1998,F,10,70
17/10/1998,E,5,69
18/10/1998,D,9,68
19/10/1998,C,9,67
20/10/1998,C,2,67
21/10/1998,E,7,69
22/10/1998,C,8,67
23/10/1998,C,4,67
24/10/1998,B,10,66
25/10/1998,B,7,66
26/10/1998,A,8,65
27/10/1998,D,2,68
28/10/1998,C,10,67
29/10/1998,E,6,69
30/10/1998,F,2,70
31/10/1998,A,3,65
1/11/1998,C,8,67
2/11/1998,D,10,68
3/11/1998,A,3,65
4/11/1998,B,7,66
5/11/1998,C,7,67
6/11/1998,E,5,69
7/11/1998,D,3,68
8/11/1998,C,10,67
9/11/1998,A,6,65
10/11/1998,A,9,65
11/11/1998,E,2,69
12/11/1998,A,1,65
13/11/1998,A,3,65
14/11/1998,A,7,65
15/11/1998,A,8,65
16/11/1998,A,7,65
17/11/1998,D,4,68
18/11/1998,B,3,66
19/11/1998,B,1,66
20/11/1998,B,9,66
21/11/1998,F,3,70
22/11/1998,B,3,66
23/11/1998,A,4,65
24/11/1998,C,7,67
25/11/1998,A,2,65
26/11/1998,F,5,70
27/11/1998,A,7,65
28/11/1998,E,1,69
29/11/1998,A,4,65
30/11/1998,D,4,68
1/12/1998,C,6,67
2/12/1998,A,4,65
3/12/1998,C,4,67
4/12/1998,B,2,66
5/12/1998,C,8,67
6/12/1998,C,1,67
7/12/1998,D,5,68
8/12/1998,A,6,65
9/12/1998,E,3,69
10/12/1998,D,5,68
